id;placed_date;status;code;invoice_id;customer_id
1;2022-11-01T07:46:39;COMPLETED;Electronics;57858;1
2;2022-11-01T11:24:39;CANCELLED;withdrawal virtual;42917;2
3;2022-10-31T18:26:59;COMPLETED;compress Soft cross-platform;960;1
4;2022-11-01T04:36:31;COMPLETED;Expanded;88753;2
5;2022-11-01T00:44:41;CANCELLED;Hat;10576;1
6;2022-11-01T01:23:27;PENDING;Regional harness Holy;55347;1
7;2022-10-31T17:24:14;COMPLETED;Decentralized Visionary;88231;1
8;2022-10-31T19:43:13;COMPLETED;Credit Soft Cotton;23331;1
9;2022-10-31T23:11:39;PENDING;Implemented;30578;2
10;2022-11-01T11:23:32;PENDING;solution protocol;72463;1
