id;tracking_code;date;details;invoice_id
1;Mouse Villages;2022-11-01T00:42:47;unleash integrate;1
2;Gloves Account Belarussian;2022-11-01T10:43:08;Orchestrator Stravenue;2
3;Gorgeous Checking;2022-10-31T16:01:40;SSL zero;3
4;user-facing turquoise;2022-11-01T05:51:48;Iran Garden auxiliary;4
5;experiences multi-tasking Tasty;2022-10-31T17:19:41;Viaduct Bedfordshire;5
6;Shoes Avon;2022-11-01T12:41:14;Lilangeni;6
7;Music Handmade;2022-10-31T22:18:52;Estate red;7
8;Officer mobile Specialist;2022-11-01T08:08:55;system;8
9;bypass;2022-11-01T13:41:13;Streamlined;9
10;invoice Quality-focused hack;2022-10-31T18:02:02;wireless Borders;10
