id;date;details;sent_date;format;user_id;product_id
1;2022-11-01T06:02:07;Pants;2022-10-31T19:21:36;EMAIL;3405;81146
2;2022-10-31T21:35:58;port;2022-10-31T22:01:21;SMS;86437;18722
3;2022-11-01T12:44:39;program next-generation;2022-11-01T07:09:46;EMAIL;97870;11395
4;2022-11-01T02:24:10;reboot payment;2022-11-01T01:01:47;SMS;67108;40188
5;2022-10-31T18:36:58;Sports invoice;2022-11-01T13:35:58;SMS;25250;97027
6;2022-11-01T08:42:28;Officer stable Intelligent;2022-11-01T05:59:37;PARCEL;64519;40687
7;2022-10-31T19:47:10;Salad;2022-11-01T00:07:00;SMS;49244;268
8;2022-11-01T04:29:39;parallelism deposit Berkshire;2022-10-31T19:10:06;EMAIL;18345;42331
9;2022-10-31T21:14:31;Usability Jewelery;2022-11-01T03:38:19;SMS;77847;4595
10;2022-11-01T10:01:01;parsing;2022-11-01T15:58:57;EMAIL;31675;99829
