id;code;date;details;status;payment_method;payment_date;payment_amount
1;Texas Focused;2022-11-01T08:14:23;Loop;CANCELLED;PAYPAL;2022-11-01T02:34:48;22604
2;calculating;2022-11-01T08:42:46;haptic 1080p;ISSUED;PAYPAL;2022-10-31T19:56:26;10489
3;national Frozen Berkshire;2022-11-01T08:57:36;Account Borders Home;PAID;CREDIT_CARD;2022-10-31T23:40:27;36325
4;monitor;2022-10-31T19:00:12;parse intuitive Division;CANCELLED;PAYPAL;2022-10-31T20:35:13;13687
5;synergy transmitting;2022-10-31T19:02:27;parse Gloves;ISSUED;PAYPAL;2022-11-01T03:39:05;92472
6;function;2022-10-31T23:55:55;Fresh;CANCELLED;CASH_ON_DELIVERY;2022-11-01T11:02:56;26944
7;Maine;2022-11-01T10:22:18;RAM;ISSUED;PAYPAL;2022-11-01T15:24:10;32458
8;Analyst Agent;2022-11-01T14:17:00;Awesome Salad compressing;ISSUED;CASH_ON_DELIVERY;2022-11-01T11:18:42;79389
9;Salad;2022-10-31T20:25:42;Gorgeous;ISSUED;CREDIT_CARD;2022-11-01T05:12:06;62169
10;Pants Wooden Intuitive;2022-11-01T05:49:39;array Arizona Vermont;CANCELLED;CASH_ON_DELIVERY;2022-11-01T01:44:16;58737
